source:pkey,addr:province,addr:city,operator,addr:full,addr:street,addr:housenumber,addr:postcode,source,amenity,addr_full,gcode
A-41-F,Alicante,Alacant / Alicante,Pilar Trives Prada,"Carrer de Angel Celdran Carratala, 2, 03006",Carrer de Angel Celdran Carratala, 2, 03006,Opendata Generalitat Valenciana,pharmacy,"Carrer de Angel Celdran Carratala, Alacant / Alicante, Alicante",
A-448-F,Alicante,Alacant / Alicante,Ana Giner Montoyo,"Carrer de Francisco Carratala Cern., 23, 03010",Carrer de Francisco Carratala Cern., 23, 03010,Opendata Generalitat Valenciana,pharmacy,"Carrer de Francisco Carratala Cern., Alacant / Alicante, Alicante",
A-478-F,Alicante,Alacant / Alicante,Virtudes Ruiz Ortuño,"Carrer de Hermanos Doctores Server Cerda, 2, 03015",Carrer de Hermanos Doctores Server Cerda, 2, 03015,Opendata Generalitat Valenciana,pharmacy,"Carrer de Hermanos Doctores Server Cerda, Alacant / Alicante, Alicante",
A-657-F,Alicante,Alacant / Alicante,Matias Mendez Hernandez,"Carrer de Dr. Jose Luis de la Vega, 2, 03012",Carrer de Dr. Jose Luis de la Vega, 2, 03012,Opendata Generalitat Valenciana,pharmacy,"Carrer de Dr. Jose Luis de la Vega, Alacant / Alicante, Alicante",
A-99-F,Alicante,Alacant / Alicante,Mª Dolores Perez Carrion,"Carrer de Hermanos Soto Chapuli, 2, 03010",Carrer de Hermanos Soto Chapuli, 2, 03010,Opendata Generalitat Valenciana,pharmacy,"Carrer de Hermanos Soto Chapuli, Alacant / Alicante, Alicante",
A-498-F,Alicante,Almoradí,Alfonso Carmelo Soriano Cano,"Carrer de Nuestra SeÃ±ora de Monserrate, 34, 03160",Carrer de Nuestra SeÃ±ora de Monserrate, 34, 03160,Opendata Generalitat Valenciana,pharmacy,"Carrer de Nuestra SeÃ±ora de Monserrate, Almoradí, Alicante",
A-810-F,Alicante,Almoradí,Miriam Clemente Perez,"Avinguda de Doctor MaraÃ±on, 14, 03160",Avinguda de Doctor MaraÃ±on, 14, 03160,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Doctor MaraÃ±on, Almoradí, Alicante",
A-650-F,Alicante,Almudaina,Rafael Francisco Perez Perez,"Carrer de San Bertomeu, 23, 03016",Carrer de San Bertomeu, 23, 03016,Opendata Generalitat Valenciana,pharmacy,"Carrer de San Bertomeu, Almudaina, Alicante",
A-256-F,Alicante,Altea,"Ana Berenguer Lerma, Angeles Lerma Perez","Carrer de Costera Pont del Montcau, 1, 03590",Carrer de Costera Pont del Montcau, 1, 03590,Opendata Generalitat Valenciana,pharmacy,"Carrer de Costera Pont del Montcau, Altea, Alicante",
A-402-F,Alicante,Aspe,Javier Diez Canicio,"Carrer de Jaime i el Conquistador, 33, 03680",Carrer de Jaime i el Conquistador, 33, 03680,Opendata Generalitat Valenciana,pharmacy,"Carrer de Jaime i el Conquistador, Aspe, Alicante",
A-427-F,Alicante,Aspe,Adolfo Otero Coves,"Carrer de IsaaCarrer de Albeniz, 2, 03680",Carrer de IsaaCarrer de Albeniz, 2, 03680,Opendata Generalitat Valenciana,pharmacy,"Carrer de IsaaCarrer de Albeniz, Aspe, Alicante",
A-820-F,Alicante,Benejúzar,Alicia Campos Gil,"Avinguda de Estocolmo, 2, 03503",Avinguda de Estocolmo, 2, 03503,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Estocolmo, Benejúzar, Alicante",
A-507-F,Alicante,Benidoleig,Mariana Salva Ruiz,"Carrer de DINAMARCA ED. SARG VELL, , 03502",Carrer de DINAMARCA ED. SARG VELL, , 03502,Opendata Generalitat Valenciana,pharmacy,"Carrer de DINAMARCA ED. SARG VELL, Benidoleig, Alicante",
A-319-F,Alicante,Benidorm,Maria Gracia Martinez Carcel,"DEL MEDITERRANEO (ED. COBLANCA NÂº 41), , 03503",DEL MEDITERRANEO (ED. COBLANCA NÂº 41), , 03503,Opendata Generalitat Valenciana,pharmacy,"DEL MEDITERRANEO (ED. COBLANCA NÂº 41), Benidorm, Alicante",
A-361-F,Alicante,Benidorm,"Patricia Crespo Soria, Josefa Soria Bayona","Carrer de NORUEGA. EDIF. GEMELOS 8, S/N, 03502",Carrer de NORUEGA. EDIF. GEMELOS 8, , 03502,Opendata Generalitat Valenciana,pharmacy,"Carrer de NORUEGA. EDIF. GEMELOS 8, Benidorm, Alicante",
A-637-F,Alicante,Benidorm,Jose Antonio Morcuende Lancho,"Carrer de Darrere Cases, S/N, 03827",Carrer de Darrere Cases, , 03827,Opendata Generalitat Valenciana,pharmacy,"Carrer de Darrere Cases, Benidorm, Alicante",
A-674-F,Alicante,Benidorm,Vicente Perez Ortuño,"Carrer de Pare Andres Ivars, 1, 03720",Carrer de Pare Andres Ivars, 1, 03720,Opendata Generalitat Valenciana,pharmacy,"Carrer de Pare Andres Ivars, Benidorm, Alicante",
A-683-F,Alicante,Benidorm,Jorge Crespo Soria,"Urbanització CUMBRES DEL SOL. PARCarrer de A.1, , 03726",Urbanització CUMBRES DEL SOL. PARCarrer de A.1, , 03726,Opendata Generalitat Valenciana,pharmacy,"Urbanització CUMBRES DEL SOL. PARCarrer de A.1, Benidorm, Alicante",
A-690-F,Alicante,Benidorm,"Jorge Martinez De La Camara Fluvia, Carlos Martinez De La Camara Fluvia","Carrer de Aureliano Diaz, 24, 03380",Carrer de Aureliano Diaz, 24, 03380,Opendata Generalitat Valenciana,pharmacy,"Carrer de Aureliano Diaz, Benidorm, Alicante",
A-714-F,Alicante,Benidorm,Blanca Ochoa Hijona,"Carrer de Medico Antonio Simon, ED.PARIS, 03360",Carrer de Medico Antonio Simon, ED.PARIS, 03360,Opendata Generalitat Valenciana,pharmacy,"Carrer de Medico Antonio Simon, Benidorm, Alicante",
A-487-F,Alicante,Benilloba,Desamparados Domingo Tortajada,"Carrer de Conde de Altea, 32, 03710",Carrer de Conde de Altea, 32, 03710,Opendata Generalitat Valenciana,pharmacy,"Carrer de Conde de Altea, Benilloba, Alicante",
A-541-F,Alicante,Benimeli,Maria Del Rebollet Martinez Melis,"Partida de Tosal, el, 2J, 03710",Partida de Tosal, el," 2J, 03710",Opendata Generalitat Valenciana,pharmacy,"Partida de Tosal, Benimeli, Alicante",
A-625-F,Alicante,Benissa,Carmen Villanueva Albanell,"Plaça de Marti Gadea, 2, 03812",Plaça de Marti Gadea, 2, 03812,Opendata Generalitat Valenciana,pharmacy,"Plaça de Marti Gadea, Benissa, Alicante",
A-619-F,Alicante,El Poble Nou De Benitatxell / Benitachell,Alejandro Gil Garcia,"Carrer de Ramon y Cajal, 14, 03460",Carrer de Ramon y Cajal, 14, 03460,Opendata Generalitat Valenciana,pharmacy,"Carrer de Ramon y Cajal, El Poble Nou De Benitatxell / Benitachell, Alicante",
A-163-F,Alicante,Biar,"Ana Andres Gonzalez, Luisa Maria Escriva Fernandez","Carrer de Cayetano Durendez, 1, 03390",Carrer de Cayetano Durendez, 1, 03390,Opendata Generalitat Valenciana,pharmacy,"Carrer de Cayetano Durendez, Biar, Alicante",
A-454-F,Alicante,Callosa De Segura,Rocio Cayuelas Sanchis,"Carrer de Tomas Ortu?o, 71, 03501",Carrer de Tomas Ortu?o, 71, 03501,Opendata Generalitat Valenciana,pharmacy,"Carrer de Tomas Ortu?o, Callosa De Segura, Alicante",
A-201-F,Alicante,Callosa D'En Sarrià,Maria Jesus Savall Perez,"Avinguda de Vila Joiosa, 4, 03502",Avinguda de Vila Joiosa, 4, 03502,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Vila Joiosa, Callosa D'En Sarrià, Alicante",
A-665-F,Alicante,Calp,"Carlos Casado Buigues, Maria Del Carmen Buigues Ferrer","Avinguda de JAIME I. EDF.ROCA BLANCA, 38, 03500",Avinguda de JAIME I. EDF.ROCA BLANCA, 38, 03500,Opendata Generalitat Valenciana,pharmacy,"Avinguda de JAIME I. EDF.ROCA BLANCA, Calp, Alicante",
A-16-F,Alicante,El Campello,Jose Ignacio Cosin Ochaita,"URBANIZ. MISTRAL 7. BLOQ.A, 10, , 03560",URBANIZ. MISTRAL 7. BLOQ.A, 10," , 03560",Opendata Generalitat Valenciana,pharmacy,"URBANIZ. MISTRAL 7. BLOQ.A, El Campello, Alicante",
A-208-F,Alicante,Castalla,Eva Maria Alonso Perez,"Carrer de Travessera dels Quatre Camins, 12, 03420",Carrer de Travessera dels Quatre Camins, 12, 03420,Opendata Generalitat Valenciana,pharmacy,"Carrer de Travessera dels Quatre Camins, Castalla, Alicante",
A-301-F,Alicante,El Castell De Guadalest,Amalia Castaño Lopez,"Carretera de CALLOSA ENSARRIA, 3, 03517",Carretera de CALLOSA ENSARRIA, 3, 03517,Opendata Generalitat Valenciana,pharmacy,"Carretera de CALLOSA ENSARRIA, El Castell De Guadalest, Alicante",
A-504-F,Alicante,Crevillent,Juan José Sanchez Martín,"Carrer de Rei en Jaume I, 9, 03330",Carrer de Rei en Jaume I, 9, 03330,Opendata Generalitat Valenciana,pharmacy,"Carrer de Rei en Jaume I, Crevillent, Alicante",
A-310-F,Alicante,Daya Nueva,"Javier Zaragoza Santamaria, Meritxell Zaragoza Santamaria, Jorge Zaragoza Dolz","Carrer de Cardenal Tarancon, 3, 03330",Carrer de Cardenal Tarancon, 3, 03330,Opendata Generalitat Valenciana,pharmacy,"Carrer de Cardenal Tarancon, Daya Nueva, Alicante",
A-497-F,Alicante,Dénia,Fernando Miralles Mas,"Carretera de LAS MARINAS.ED.GOLDENPARK, , 03700",Carretera de LAS MARINAS.ED.GOLDENPARK, , 03700,Opendata Generalitat Valenciana,pharmacy,"Carretera de LAS MARINAS.ED.GOLDENPARK, Dénia, Alicante",
A-560-F,Alicante,Dénia,Rosa Maria Prats Mas,"Carrer de Marquesa Valero de Palma, 6, 03700",Carrer de Marquesa Valero de Palma, 6, 03700,Opendata Generalitat Valenciana,pharmacy,"Carrer de Marquesa Valero de Palma, Dénia, Alicante",
A-569-F,Alicante,Dénia,Salvadora Sivera Signes,"Carretera de Provincial del Barranco del Monyo a les Arenetes, 61, 03700",Carretera de Provincial del Barranco del Monyo a les Arenetes, 61, 03700,Opendata Generalitat Valenciana,pharmacy,"Carretera de Provincial del Barranco del Monyo a les Arenetes, Dénia, Alicante",
A-623-F,Alicante,Dénia,Ines Roig Sanchez,"PART.BOVETES.Carrer de ""BRISAS"", 4, 03700","PART.BOVETES.Carrer de ""BRISAS""", 4, 03700,Opendata Generalitat Valenciana,pharmacy,"PART.BOVETES.Carrer de ""BRISAS"", Dénia, Alicante",
A-377-F,Alicante,Elx / Elche,Maria Dolores Galache Paya,"Carrer de Obispo Winibal, 25, 03202",Carrer de Obispo Winibal, 25, 03202,Opendata Generalitat Valenciana,pharmacy,"Carrer de Obispo Winibal, Elx / Elche, Alicante",
A-47-F,Alicante,Elx / Elche,Concepcion Quesada Garcia,"Carrer de EMILIO SALA HERNÃNDEZ, 16, 03205",Carrer de EMILIO SALA HERNÃNDEZ, 16, 03205,Opendata Generalitat Valenciana,pharmacy,"Carrer de EMILIO SALA HERNÃNDEZ, Elx / Elche, Alicante",
A-515-F,Alicante,Elx / Elche,Isaura Furelos Gaiteiro,"PLAZA PRIMAVERA (PARTIDA RURAL LAS BAYAS), 5, 03292",PLAZA PRIMAVERA (PARTIDA RURAL LAS BAYAS), 5, 03292,Opendata Generalitat Valenciana,pharmacy,"PLAZA PRIMAVERA (PARTIDA RURAL LAS BAYAS), Elx / Elche, Alicante",
A-611-F,Alicante,Elx / Elche,Concepcion Puchades Nacher,"LUGAR Valverde Bajo Poligono 2, 2, 03139",LUGAR Valverde Bajo Poligono 2, 2, 03139,Opendata Generalitat Valenciana,pharmacy,"LUGAR Valverde Bajo Poligono 2, Elx / Elche, Alicante",
A-649-F,Alicante,Elx / Elche,Francisco Mas Perez,"AEROPUERTO ""EL ALTET"" NUEVA TERMINAL. PLANTA LLEGADAS 1.1, , 03201","AEROPUERTO ""EL ALTET"" NUEVA TERMINAL. PLANTA LLEGADAS 1.1", , 03201,Opendata Generalitat Valenciana,pharmacy,"AEROPUERTO ""EL ALTET"" NUEVA TERMINAL. PLANTA LLEGADAS 1.1, Elx / Elche, Alicante",
A-745-F,Alicante,Elda,"Felipe Herencia Salabert, Maria Teresa Salabert Salvador","Avinguda de CAMILO JOSE CELA, 74, 03600",Avinguda de CAMILO JOSE CELA, 74, 03600,Opendata Generalitat Valenciana,pharmacy,"Avinguda de CAMILO JOSE CELA, Elda, Alicante",
A-800-F,Alicante,Elda,Angela Josefa Perez Aznar,"Carrer de Jaime Balmes, 18, 03600",Carrer de Jaime Balmes, 18, 03600,Opendata Generalitat Valenciana,pharmacy,"Carrer de Jaime Balmes, Elda, Alicante",
A-548-F,Alicante,Gaianes,Leonor Frances Reig,"Avinguda de VIRGEN DE LA LUZ, 47, 03840",Avinguda de VIRGEN DE LA LUZ, 47, 03840,Opendata Generalitat Valenciana,pharmacy,"Avinguda de VIRGEN DE LA LUZ, Gaianes, Alicante",
A-102-F,Alicante,Gata De Gorgos,Joan Tormo Soler,"Carrer de Pare Mulet (del), 8, 03740",Carrer de Pare Mulet (del), 8, 03740,Opendata Generalitat Valenciana,pharmacy,"Carrer de Pare Mulet (del), Gata De Gorgos, Alicante",
A-589-F,Alicante,Ibi,Maria Inmaculada Jimenez Moreno,"Carrer de Metge Antonio Anguiz, 2, 03440",Carrer de Metge Antonio Anguiz, 2, 03440,Opendata Generalitat Valenciana,pharmacy,"Carrer de Metge Antonio Anguiz, Ibi, Alicante",
A-764-F,Alicante,Xàbia / Jávea,Antonio V. Almodovar Morell,"PLAZA JOANOT MARTORELL, 5, 03730",PLAZA JOANOT MARTORELL, 5, 03730,Opendata Generalitat Valenciana,pharmacy,"PLAZA JOANOT MARTORELL, Xàbia / Jávea, Alicante",
A-776-F,Alicante,Xàbia / Jávea,Ana Maria Lillo Garcia,"Carrer de ANTONIO BAÃ‘ULS ESQ. Carrer de RAMON LLIDO, , 03730",Carrer de ANTONIO BAÃ‘ULS ESQ. Carrer de RAMON LLIDO, , 03730,Opendata Generalitat Valenciana,pharmacy,"Carrer de ANTONIO BAÃ‘ULS ESQ. Carrer de RAMON LLIDO, Xàbia / Jávea, Alicante",
A-509-F,Alicante,L’Orxa / Lorcha,Maria Grisela Giner Montoro,"Carrer de Reis Catolics, 2, 03860",Carrer de Reis Catolics, 2, 03860,Opendata Generalitat Valenciana,pharmacy,"Carrer de Reis Catolics, L’Orxa / Lorcha, Alicante",
A-5-F,Alicante,Monforte Del Cid,Jesus Juana Roa,"Avinguda de CASTRO RICHART FUERTES, 12, 03670",Avinguda de CASTRO RICHART FUERTES, 12, 03670,Opendata Generalitat Valenciana,pharmacy,"Avinguda de CASTRO RICHART FUERTES, Monforte Del Cid, Alicante",
A-148-F,Alicante,Monòver / Monóvar,"Juan Maestre Amer, Mª Del Carmen Franco Gimenez, Juan Gomez-Rivas Maestre","Carrer de Carlos Tortosa Juan, 4, 03640",Carrer de Carlos Tortosa Juan, 4, 03640,Opendata Generalitat Valenciana,pharmacy,"Carrer de Carlos Tortosa Juan, Monòver / Monóvar, Alicante",
A-534-F,Alicante,Murla,Vicente Tomas Sabater,"Carrer de Padre Sirera, 12, 03792",Carrer de Padre Sirera, 12, 03792,Opendata Generalitat Valenciana,pharmacy,"Carrer de Padre Sirera, Murla, Alicante",
A-579-F,Alicante,La Nucia,Antonio J. Gasent Vallalta,"Carrer de ALADROCarrer de (URBAN. HOLIDAY CLUB), 1, 03530",Carrer de ALADROCarrer de (URBAN. HOLIDAY CLUB), 1, 03530,Opendata Generalitat Valenciana,pharmacy,"Carrer de ALADROCarrer de (URBAN. HOLIDAY CLUB), La Nucia, Alicante",
A-825-F,Alicante,La Nucia,Estrella Romero Escandell,"Urbanització PINAR DE GARAITA, 4, 03530",Urbanització PINAR DE GARAITA, 4, 03530,Opendata Generalitat Valenciana,pharmacy,"Urbanització PINAR DE GARAITA, La Nucia, Alicante",
A-336-F,Alicante,Orihuela,Angel Bonmati Gomez,"Carrer de ORIHUELA-BARRIO NUEVO (LA CAMPANETA), 22, 03314",Carrer de ORIHUELA-BARRIO NUEVO (LA CAMPANETA), 22, 03314,Opendata Generalitat Valenciana,pharmacy,"Carrer de ORIHUELA-BARRIO NUEVO (LA CAMPANETA), Orihuela, Alicante",
A-378-F,Alicante,Orihuela,Pedro Garcia Armero,"MARQUES LACY. ESQ.Carrer deJUAN XXIII, , 03315",MARQUES LACY. ESQ.Carrer deJUAN XXIII, , 03315,Opendata Generalitat Valenciana,pharmacy,"MARQUES LACY. ESQ.Carrer deJUAN XXIII, Orihuela, Alicante",
A-410-F,Alicante,Orihuela,Carmen Ortiz Balaguer,"Carrer de Amalia OrtuÃ±o, 9, 03312",Carrer de Amalia OrtuÃ±o, 9, 03312,Opendata Generalitat Valenciana,pharmacy,"Carrer de Amalia OrtuÃ±o, Orihuela, Alicante",
A-508-F,Alicante,Orihuela,Margarita Gonzalez Vicente,"Avinguda de Adelfas (Las)-Campoamor, PAR.CC-1B, 03189",Avinguda de Adelfas (Las)-Campoamor, PAR.CC-1B, 03189,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Adelfas (Las)-Campoamor, Orihuela, Alicante",
A-61-F,Alicante,Orihuela,Pilar Bañon Arnao,"Avinguda de PLAYA.EDIF. MADRID, BAJO, , 03189",Avinguda de PLAYA.EDIF. MADRID, BAJO," , 03189",Opendata Generalitat Valenciana,pharmacy,"Avinguda de PLAYA.EDIF. MADRID, Orihuela, Alicante",
A-53-F,Alicante,Pedreguer,Herminia Infantes Costa,"Plaça de Doctor Calatayud, 15, 03750",Plaça de Doctor Calatayud, 15, 03750,Opendata Generalitat Valenciana,pharmacy,"Plaça de Doctor Calatayud, Pedreguer, Alicante",
A-557-F,Alicante,Petrer,"Carlos Milla Poveda, Carlos Milla Bernabe","DAMASO NAVARRO ESQUINA SOCIEDAD UNIÃ“N MUSICAL, , 03610",DAMASO NAVARRO ESQUINA SOCIEDAD UNIÃ“N MUSICAL, , 03610,Opendata Generalitat Valenciana,pharmacy,"DAMASO NAVARRO ESQUINA SOCIEDAD UNIÃ“N MUSICAL, Petrer, Alicante",
A-587-F,Alicante,Pilar De La Horadada,Teresa Aparicio Cegarra,"Avinguda de DEL PINO S/N.URB.CAMPOVERDE, , 03190",Avinguda de DEL PINO S/N.URB.CAMPOVERDE, , 03190,Opendata Generalitat Valenciana,pharmacy,"Avinguda de DEL PINO S/N.URB.CAMPOVERDE, Pilar De La Horadada, Alicante",
A-804-F,Alicante,Pilar De La Horadada,Mª Del Mar Lorenzo Bañon,"Carrer de ALHELI (TORRE DE LA HORADADA), 21, 03190",Carrer de ALHELI (TORRE DE LA HORADADA), 21, 03190,Opendata Generalitat Valenciana,pharmacy,"Carrer de ALHELI (TORRE DE LA HORADADA), Pilar De La Horadada, Alicante",
A-106-F,Alicante,El Pinós / Pinoso,"Horacio Jorge Pacheco, Araceli Perez Perez","Carrer de Ramon y Cajal, 4, 03650",Carrer de Ramon y Cajal, 4, 03650,Opendata Generalitat Valenciana,pharmacy,"Carrer de Ramon y Cajal, El Pinós / Pinoso, Alicante",
A-192-F,Alicante,El Ràfol D’Almúnia,Mª Vicenta Catala Gadea,"Carrer de Mayor, 2, 03769",Carrer de Mayor, 2, 03769,Opendata Generalitat Valenciana,pharmacy,"Carrer de Mayor, El Ràfol D’Almúnia, Alicante",
A-243-F,Alicante,La Romana,Maria Del Carmen Aguilera Garcia,"Carrer de MusiCarrer de Jose Mira Pepin, 14, 03669",Carrer de MusiCarrer de Jose Mira Pepin, 14, 03669,Opendata Generalitat Valenciana,pharmacy,"Carrer de MusiCarrer de Jose Mira Pepin, La Romana, Alicante",
A-685-F,Alicante,Santa Pola,Mª José Bonmatí Gómez,"Avinguda de Vicente Blasco IbaÃ±ez, 11, 03130",Avinguda de Vicente Blasco IbaÃ±ez, 11, 03130,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Vicente Blasco IbaÃ±ez, Santa Pola, Alicante",
A-39-F,Alicante,Teulada,Mª Del Pilar Cervero Diez,"Carrer de MÃ‰DICO JOSÃ‰ PITARCH, 6, 03725",Carrer de MÃ‰DICO JOSÃ‰ PITARCH, 6, 03725,Opendata Generalitat Valenciana,pharmacy,"Carrer de MÃ‰DICO JOSÃ‰ PITARCH, Teulada, Alicante",
A-159-F,Alicante,Torrevieja,Jose  Vera Beloqui,"Carrer de Jose Martinez Ruiz 'Azorin', 7, 03181",Carrer de Jose Martinez Ruiz 'Azorin', 7, 03181,Opendata Generalitat Valenciana,pharmacy,"Carrer de Jose Martinez Ruiz 'Azorin', Torrevieja, Alicante",
A-238-F,Alicante,Torrevieja,Rosario Torregrosa Paredes,"Carrer de Vicente Blasco IbaÃ±ez, 17, 03181",Carrer de Vicente Blasco IbaÃ±ez, 17, 03181,Opendata Generalitat Valenciana,pharmacy,"Carrer de Vicente Blasco IbaÃ±ez, Torrevieja, Alicante",
A-561-F,Alicante,Torrevieja,Nestor Pacheco Navarro,"Urbanització ROCIO MAR.VILLAS D.QUIJ. L, 8, 03180",Urbanització ROCIO MAR.VILLAS D.QUIJ. L, 8, 03180,Opendata Generalitat Valenciana,pharmacy,"Urbanització ROCIO MAR.VILLAS D.QUIJ. L, Torrevieja, Alicante",
A-640-F,Alicante,Torrevieja,"Marta Cartagena Perez, Gonzalo Cartagena Perez","Carrer de Guridi -Urbanització la Siesta, S/N, 03184",Carrer de Guridi -Urbanització la Siesta, , 03184,Opendata Generalitat Valenciana,pharmacy,"Carrer de Guridi -Urbanització la Siesta, Torrevieja, Alicante",
A-704-F,Alicante,Torrevieja,Mª Rosario Perez Gutierrez,"Urbanització LOMAS DEL MAR ED. LOMAS PLAYA LOCarrer de 114-115, , 03180",Urbanització LOMAS DEL MAR ED. LOMAS PLAYA LOCarrer de 114-115, , 03180,Opendata Generalitat Valenciana,pharmacy,"Urbanització LOMAS DEL MAR ED. LOMAS PLAYA LOCarrer de 114-115, Torrevieja, Alicante",
A-725-F,Alicante,Torrevieja,Manuel Javier Reyes Crespo,"VILLA DE BARCELONA ESQUINA SAN LUIS, , 03180",VILLA DE BARCELONA ESQUINA SAN LUIS, , 03180,Opendata Generalitat Valenciana,pharmacy,"VILLA DE BARCELONA ESQUINA SAN LUIS, Torrevieja, Alicante",
A-803-F,Alicante,Torrevieja,Sandra  Pelegrin Montesinos,"Carrer de DIANA ESQ. Carrer de TRITON (Carrer de TORREMARINA), LOCAL 16, 03183",Carrer de DIANA ESQ. Carrer de TRITON (Carrer de TORREMARINA), LOCAL 16, 03183,Opendata Generalitat Valenciana,pharmacy,"Carrer de DIANA ESQ. Carrer de TRITON (Carrer de TORREMARINA), Torrevieja, Alicante",
A-817-F,Alicante,Torrevieja,Asuncion Crespo Andres,"Carrer de PUNTA MARINA LOCAL 019-1, , 03185",Carrer de PUNTA MARINA LOCAL 019-1, , 03185,Opendata Generalitat Valenciana,pharmacy,"Carrer de PUNTA MARINA LOCAL 019-1, Torrevieja, Alicante",
A-384-F,Alicante,La Vila Joiosa / Villajoyosa,Inmaculada Segrelles Lloret,"Plaça de PRACTICANTE GASPAR ORTUÃ‘O, 54, 03570",Plaça de PRACTICANTE GASPAR ORTUÃ‘O, 54, 03570,Opendata Generalitat Valenciana,pharmacy,"Plaça de PRACTICANTE GASPAR ORTUÃ‘O, La Vila Joiosa / Villajoyosa, Alicante",
A-151-F,Alicante,Villena,"Javier Gisbert Menor, Angela Catalina Menor Hernandez","PLAZA Beata Agueda Hernandez Amoros, 3, 03400",PLAZA Beata Agueda Hernandez Amoros, 3, 03400,Opendata Generalitat Valenciana,pharmacy,"PLAZA Beata Agueda Hernandez Amoros, Villena, Alicante",
