source:pkey,name,addr:full,addr:housenumber,addr:postcode,addr:city,phone,fax,email,website,source:date,addr:street,addr:unit,amenity,emergency
10928282,Assir Olesa De Montserrat," Cr Lluís Puigjaner, 22", 22,08640,Olesa de Montserrat,937365050,,,,2020-03-19T07:58:52, Cr Lluís Puigjaner,,clinic,
11731537,Consultori Local Els Reguers," Cr Sant Gregori, 27", 27,43527,Tortosa,977474089,,,,, Cr Sant Gregori,,clinic,
11731572,Consultori Local Mas De Barberans," Cr Molí, 96", 96,43514,Mas de Barberans,977739200,,,,, Cr Molí,,clinic,
11729833,Consultori Local Paüls," Cr Diputació, 8", 8,43593,Paüls,977328294,977 32 82 94,,,, Cr Diputació,,clinic,
11731538,Consultori Local Jesús," Ct Roquetes-Jesús, S/N", ,43590,Tortosa,977503211,977 50 33 52,,,, Ct Roquetes-Jesús,,clinic,
11729850,Consultori Local Els Lligallos," Av Conseller J. Navarro, S/N", ,43894,Camarles,977471028,977 45 11 83,,,, Av Conseller J. Navarro,,clinic,
11731570,Consultori Local Godall," Cr Reverenda Mare Teresa Blanc, S/N", ,43516,Godall,977738105,977 73 82 25,,,, Cr Reverenda Mare Teresa Blanc,,clinic,
11729856,Consultori Local L'Ampolla," Pl Manel Ferré, S/N", ,43895,"Ampolla, l'",977460601,977 59 33 09,,,, PlaçaManel Ferré,,clinic,
11729819,Consultori Local Aldover," Av Catalunya, S/N", ,43591,Aldover,977473422,,,,, Av Catalunya,,clinic,
11731568,Consultori Local La Galera," Cr Carasol, S/N", ,43515,"Galera, la",977718788,977 71 85 38,,,, Cr Carasol,,clinic,
11731578,Consultori Local El Poble Nou Del Delta," Pl Del Jardí, 6", 6,43549,Sant Carles de la Ràpita,977742204,,,,, PlaçaDel Jardí,,clinic,
11729881,Consultori Local Els Muntells," Cr Tortosa, 3", 3,43879,Sant Jaume d'Enveja,977479011,,,,, Cr Tortosa,,clinic,
11729821,Consultori Local Alfara De Carles," Cr Nou, 4", 4,43528,Alfara de Carles,977455092,,,,, Cr Nou,,clinic,
11731574,Consultori Local Masdenverge," Cr Balmes, S/N", ,43878,Masdenverge,977718469,977 71 84 93,,,, Cr Balmes,,clinic,
11731566,Consultori Local Freginals," Cr Escoles, S/N", ,43558,Freginals,977572753,977 57 27 87,,,, Cr Escoles,,clinic,
11729829,Consultori Local Benifallet," Cr Marcel·Lí Domingo, 2", 2,43512,Benifallet,977462212,,,,, Cr Marcel·Lí Domingo,,clinic,
10929871,Assir Litoral," Ps Marítim De La Barceloneta, 25-29", 25-29,08003,Barcelona,,,,,2020-03-19T07:58:43, Ps Marítim De La Barceloneta,,clinic,
3620152,Cap Sant Jaume D'Enveja," Pl Francesc Graupera, 88-91", 88-91,43877,Sant Jaume d'Enveja,977468482,977 46 80 45,,,2020-03-19T07:59:34, PlaçaFrancesc Graupera,,clinic,
3621698,Consultori Local Torrelavit," Cr Molí, 29", 29,08775,Torrelavit,938995977,,,,2020-03-19T07:58:58, Cr Molí,,clinic,
3619895,Cap Bonavista," Cr Set-Bonavista, 36", 36,43100,Tarragona,977529497,977 54 17 21,bonavista.tgn.ics@gencat.cat,,2020-03-19T07:59:39, Cr Set-Bonavista,,clinic,
3622458,Atenció Continuada Cap El Pla," Pl Felip Alcantara, 3", 3,08980,Sant Feliu de Llobregat,936854667,93 685 53 36,admpla.bln.cp.ics@gencat.net,,2020-03-19T07:58:49, PlaçaFelip Alcantara,,clinic,yes
3619668,Consultori Local Torrefarrera," Cr Verge Montserrat, S/N", ,25123,Torrefarrera,973750028,,,,2020-03-19T07:59:49, Cr Verge Montserrat,,clinic,
3620306,Consultori Local Copons," Cr Àngel Guimerà, 9", 9,08281,Copons,938090150,,,,2020-03-19T07:59:14, Cr Àngel Guimerà,,clinic,
3621044,Consultori Local Isona," Cr Soledad, 26", 26,25650,Isona i Conca Dellà,973664105,973 65 04 86,,,2020-03-19T07:59:01, Cr Soledad,,clinic,
3622817,Atenció Continuada Cap Guineueta," Ps Valldaura, 135", 135,08042,Barcelona,932749534,93 427 89 96,,,2020-03-19T07:58:43, Ps Valldaura,,clinic,yes
3619682,Cap Bellpuig," Cr Diputació, S/N", ,25250,Bellpuig,973337157,973 33 71 57,bellpuig.lleida.ics@gencat.cat,,2020-03-19T07:59:49, Cr Diputació,,clinic,
3620446,Consultori Local La Torre De Claramunt," Cr Castell, 15", 15,08789,"Torre de Claramunt, la",938012852,,,,2020-03-19T07:59:13, Cr Castell,,clinic,
3620483,Consultori Local La Tallada D'Empordà," Cr Les Torres, 1", 1,17134,"Tallada d'Empordà, la",972780560,,pveth@ssibe.cat,,2020-03-19T07:59:26, Cr Les Torres,,clinic,
3620382,Consultori Local Ordis," Cr Església, S/N", ,17772,Sant Llorenç de la Muga,972526201,,,,2020-03-19T07:59:29, Cr Església,,clinic,
3620336,Consultori Local Llers," Cr Nou, 1, Pis Ba", 1,17730,Llers,972528405,,,,2020-03-19T07:59:30, Cr Nou, Pis Ba,clinic,
3620297,Hospital De Figueres," Rd Rector Arolas, S/N", ,17600,Figueres,972501400,972 67 03 13,,http://www.salutemporda.cat/,2020-03-19T07:59:31, Rd Rector Arolas,,hospital,
3619640,Consultori Local Barberà De La Conca," Cr Comerç, S/N", ,43422,Barberà de la Conca,977887294,,,,2020-03-19T07:59:42, Cr Comerç,,clinic,
3622582,Cap Maria Bernades," Cr Mare De Déu De Montserrat, 124-126", 124-126,08840,Viladecans,936474155,93 647 41 51,vila2@baixll.scs.es,,2020-03-19T07:58:47, Cr Mare De Déu De Montserrat,,clinic,
3620799,Cap Poblenou," Cr Lope De Vega, 138", 138,08005,Barcelona,934337710,93 307 59 45,eappoblenou.bcn.ics@gencat.cat,,2020-03-19T07:58:42, Cr Lope De Vega,,clinic,
3622325,Consultori Local El Papiol," Cr Generalitat, 7", 7,08754,"Papiol, el",936731535,,,,2020-03-19T07:58:52, Cr Generalitat,,clinic,
3620533,Consultori Local Estanyol," Pl Font Bernat, S/N", ,17182,Bescanó,972442570,,,,2020-03-19T07:59:24, PlaçaFont Bernat,,clinic,
3620796,Cap Passeig De Maragall - Equip Encants," Ps Maragall, 52-54", 52-54,08041,Barcelona,934465757,93 347 78 37,,,2020-03-19T07:58:42, Ps Maragall,,clinic,
3622027,Consultori Local Fontsanta," Pl Gandesa, S/N", ,08940,Cornellà de Llobregat,934744002,,,,2020-03-19T07:58:56, PlaçaGandesa,,clinic,
3620527,Cap La Vall D'En Bas," Cr Doctor Turró, 2", 2,17178,"Vall d'en Bas, la",972690302,972 69 11 05,dprimaria@hospiolot.com,,2020-03-19T07:59:25, Cr Doctor Turró,,clinic,
3619516,Consultori Local Vilanova De Meià," Cr Escoles, 4", 4,25735,Vilanova de Meià,973415008,,,,2020-03-19T07:59:55, Cr Escoles,,clinic,
3622016,Consultori Local Collbató," Cr Bonavista, 2", 2,08923,Collbató,937770759,,,,2020-03-19T07:58:56, Cr Bonavista,,clinic,
3620638,Consultori Local Navès," Ur Santa Llúcia-Pantà De Sant Ponç, S/N", ,25286,Navès,973482553,,,,2020-03-19T07:59:05, Ur Santa Llúcia-Pantà De Sant Ponç,,clinic,
3620568,Atenció Continuada Cap Rambla De Terrassa," Rb D'Egara, 368-388", 368-388,08221,Terrassa,937365900,93 788 76 41,gerenciamutua@mutuaterrassa.es,http://www.mutuaterrassa.cat,2020-03-19T07:57:47, Rb D'Egara,,clinic,yes
3622856,Consultori Local Les Planes," Pl Del Coll De La Creu D'En Blau, 7", 7,08196,Sant Cugat del Vallès,935836435,,,,2020-03-19T07:57:52, PlaçaDel Coll De La Creu D'En Blau,,clinic,
3622360,Cap Ronda Prim - Equip Ronda Prim," Rd General Prim, 35", 35,08302,Mataró,937415044,,mataro7.sanitat@gencat.cat,,2020-03-19T07:58:00, Rd General Prim,,clinic,
3620183,Cap Blanes 2," Av Europa, 10", 10,17300,Blanes,972359534,972 35 95 34,eap_blanes.girona.ics@gencat.cat,,2020-03-19T07:59:18, Av Europa,,clinic,
3620904,Consultori Local Barruera," Cr Sanfeliu, S/N", ,25527,"Vall de Boí, la",973694025,,,,2020-03-19T07:59:02, Cr Sanfeliu,,clinic,
3620771,Consultori Local Coll De Nargó," Pl Ajuntament, S/N", ,25793,Coll de Nargó,973383552,,,,2020-03-19T07:59:03, PlaçaAjuntament,,clinic,
3620664,Cap Gòtic (Annex Rull)," Cr Rull, 9, Pis Ba", 9,08002,Barcelona,932702380,93 304 33 65,cvgo01.pbcn@ics.scs.es,,2020-03-19T07:58:43, Cr Rull, Pis Ba,clinic,
3620666,Cap Guineueta," Ps Valldaura, 135", 135,08042,Barcelona,932749534,93 427 89 96,,,2020-03-19T07:58:42, Ps Valldaura,,clinic,
3621341,Consultori Local Ribera De Cardós," Cr Únic, S/N", ,25570,Vall de Cardós,973623265,,,,2020-03-19T07:58:59, Cr Únic,,clinic,
3619849,Consultori Local Els Guiamets," Cr Església, 2", 2,43777,"Guiamets, els",977413058,,,,2020-03-19T07:59:41, Cr Església,,clinic,
3620938,Cap Vallcarca-Sant Gervasi - Equip Sant Gervasi," Av Vallcarca, 169-205", 169-205,08023,Barcelona,932594422,93 259 44 44,contactar@aprimariavsg.com,https://aprimariavsg.com/aprimariavsg/,2020-03-19T07:58:41, Av Vallcarca,,clinic,
3621861,Consultori Local Can Vilalba," Ur Can Vilalba-Circumval·Lació, 5", 5,08630,Abrera,937704939,93 770 76 41,admabre.bln.cp.ics@gencat.cat,,2020-03-19T07:58:57, Ur Can Vilalba-Circumval·Lació,,clinic,
3619960,Atenció Continuada Cap El Temple," Pl Carrilet, S/N", ,43500,Tortosa,,,,,2020-03-19T07:59:36, PlaçaCarrilet,,clinic,yes
3620341,Consultori Local Navata," Cr Escoles, 12", 12,17744,Navata,972553531,,,,2020-03-19T07:59:30, Cr Escoles,,clinic,
3621894,Atenció Continuada Cap Doctor Barraquer," Pl Doctor Trueta, S/N", ,08930,Sant Adrià de Besòs,933817605,93 381 98 03,abs1.stadria.sanitat@gencat.cat,,2020-03-19T07:58:06, PlaçaDoctor Trueta,,clinic,yes
3620766,Consultori Local Sant Quirze Safaja," Cr Barcelona, 2", 2,08189,Sant Quirze Safaja,938663898,,,,2020-03-19T07:59:04, Cr Barcelona,,clinic,
3619978,Consultori Local Fulleda," Cr Forn, S/N", ,25411,Fulleda,973156192,,,,2020-03-19T07:59:57, Cr Forn,,clinic,
3620275,Cap Maçanet De La Selva," Av Sant Llorenç, 7", 7,17412,Maçanet de la Selva,972859420,,eap_sils.girona.ics@gencat.cat,,2020-03-19T07:59:16, Av Sant Llorenç,,clinic,
3622061,Cap Roquetes (Les Roquetes - Sant Pere De Ribes)," Av De Catalunya, 11", 11,08812,Sant Pere de Ribes,938145182,93 814 29 21,,,2020-03-19T07:58:03, Av De Catalunya,,clinic,
10928087,Assir Santa Coloma De Gramenet," Cr Major, 49-53", 49-53,08921,Santa Coloma de Gramenet,934662096,93 466 00 76,abs4.stacoloma.sanitat@gencat.cat,,2020-03-19T07:58:06, Cr Major,,clinic,
3620556,Clínica Girona," Cr Joan Maragall, 26", 26,17002,Girona,972204500,972 20 66 66,clinicagirona@clinicagirona.cat,http://www.clinicagirona.cat,2020-03-19T07:59:24, Cr Joan Maragall,,hospital,
10930443,Assir Consorci Sanitari De Terrassa," Ct Torrebonica, S/N", ,08227,Terrassa,937314838,,,,2020-03-19T07:57:47, Ct Torrebonica,,clinic,
3620498,Consultori Local Vulpellac," Cr La Unió, S/N", ,17111,Forallac,972645546,,tvalencia@ssibe.cat,,2020-03-19T07:59:26, Cr La Unió,,clinic,
3622439,Cap Vinyets," Rd Sant Ramon, 187", 187,08830,Sant Boi de Llobregat,936525013,93 652 26 74,absvinyets.bll.cp.ics@gencat.net,,2020-03-19T07:58:50, Rd Sant Ramon,,clinic,
10930614,Assir Granollers," Cr Museu, 19", 19,08401,Granollers,938600517,93 860 05 00,,,2020-03-19T07:57:42, Cr Museu,,clinic,
3620467,Cap Catalina Cargol De Palamós," Cr Hospital, 17-19", 17-19,17230,Palamós,972600616,,atenciociutadapalamos@ssibe.cat,http://www.ssibe.cat,2020-03-19T07:59:27, Cr Hospital,,clinic,
3619579,Consultori Local Alfés," Cr Forn, 11", 11,25161,Alfés,973136079,,,,2020-03-19T07:59:53, Cr Forn,,clinic,
3620192,Cap Móra La Nova," Cr Francesc Macià, 58", 58,43770,Móra la Nova,977401452,977 40 26 07,,,2020-03-19T07:59:33, Cr Francesc Macià,,clinic,
3622340,Cuap La Solana," Cr Sant Felip Neri, 18", 18,08740,Sant Andreu de la Barca,936356651,,,,2020-03-19T07:58:51, Cr Sant Felip Neri,,clinic,yes
3620510,Consultori Local Olot Nord," Av Girona, 53", 53,17800,Olot,972273816,,,,2020-03-19T07:59:25, Av Girona,,clinic,
3622573,Cap Santa Coloma De Cervelló," Cr Joan Xxiii, 24", 24,08690,Santa Coloma de Cervelló,936450845,,,,2020-03-19T07:58:48, Cr Joan Xxiii,,clinic,
3620216,Cap Cardona," Ps Mossén Joan  Riba, 1", 1,08261,Cardona,938692450,93 868 43 29,eapcardona.cc.ics@gencat.cat,,2020-03-19T07:59:12, Ps Mossén Joan  Riba,,clinic,
3622590,Cap Cunit," Av Del Castell, 16", 16,43881,Cunit,977162236,977 67 536 65,,,2020-03-19T07:58:46, Av Del Castell,,clinic,
3620923,Cap Roquetes - Canteres," Cr Garigliano, 23-27", 23-27,08042,Barcelona,932768068,93 359 44 70,,,2020-03-19T07:58:42, Cr Garigliano,,clinic,
3619930,Consultori Local Bellvei," Cr Martí I Pol, 1", 1,43719,Bellvei,977661918,,,,2020-03-19T07:59:43, Cr Martí I Pol,,clinic,
3619947,Consultori Local Tivenys," Cr Abadia, 10", 10,43511,Tivenys,977496163,,,,2020-03-19T07:59:36, Cr Abadia,,clinic,
3622828,Cap Bordeta-Magòria," Cr Corral, 41", 41,08014,Barcelona,934316570,93 421 92 20,campmagoria.bcn.ics@gencat.cat,,2020-03-19T07:58:43, Cr Corral,,clinic,
3621071,Consultori Local De Sant Pere De Vilamajor," Cr Nou, 26", 26,08458,Sant Pere de Vilamajor,938452625,,stpere.mn.ics@gencat.cat,,2020-03-19T07:57:36, Cr Nou,,clinic,
3620331,Consultori Local Els Hostalets De Pierola," Cr Major, 2", 2,08781,"Hostalets de Pierola, els",937712002,,,,2020-03-19T07:59:13, Cr Major,,clinic,
3620285,Cap Dr. Moisès Broggi," Cr Mossèn Salvador Jué I Pujolar, 1", 1,17130,"Escala, l'",972776060,,abslescala@salutemporda.cat,http://www.salutemporda.cat,2020-03-19T07:59:31, Cr Mossèn Salvador Jué I Pujolar,,clinic,
3620658,Cap Doctor Carles Ribas," Cr Del Foc, 112", 112,08038,Barcelona,932232888,93 223 05 49,,,2020-03-19T07:58:43, Cr Del Foc,,clinic,
3621693,Cap Santa Margarida I Els Monjos," Ps Fluvial, S/N", ,08730,Santa Margarida i els Monjos,938186748,93 898 02 03,vilafranca.apg.cp.ics@gencat.net,,2020-03-19T07:58:58, Ps Fluvial,,clinic,
3619819,Cap Xerta," Av De Martí Martí, S/N", ,43592,Xerta,977473816,977 47 38 17,,,2020-03-19T07:59:36, Av De Martí Martí,,clinic,
3619550,Consultori Local L'Ametlla De Segarra," Cr Major, 32", 32,25217,Montoliu de Segarra,973531048,,,,2020-03-19T07:59:54, Cr Major,,clinic,
3620783,Consultori Local Montant De Tost," Cr Únic, S/N", ,25796,Ribera d'Urgellet,973387105,,,,2020-03-19T07:59:03, Cr Únic,,clinic,
3620389,Consultori Local La Selva De Mar," Pl De L'Església, S/N", ,17489,"Selva de Mar, la",972387303,,,,2020-03-19T07:59:29, PlaçaDe L'Església,,clinic,
3622689,Cap Llefià," Ct Antiga València, 84", 84,08913,Badalona,933991460,93 399 46 60,llefia.badalona.sanitat@gencat.cat,,2020-03-19T07:58:46, Ct Antiga València,,clinic,
3620067,Consultori Local Sant Martí Vell," Ct De Madremanya, S/N", ,17462,Sant Martí Vell,972490401,,,,2020-03-19T07:59:21, Ct De Madremanya,,clinic,
3620280,Consultori Local Cistella," Cr Centre, 19", 19,17741,Cistella,972546109,,,,2020-03-19T07:59:32, Cr Centre,,clinic,
3620482,Consultori Local Serra De Daró," Cr Esglesia, 4", 4,17133,Serra de Daró,972755727,,pveth@ssibe.cat,,2020-03-19T07:59:26, Cr Esglesia,,clinic,
3620928,Cap Sant Martí - Equip Sant Martí," Cr Fluvià, 209-211", 209-211,08020,Barcelona,933070812,93 303 49 63,xcos.pbcn@ics.scs.es,,2020-03-19T07:58:42, Cr Fluvià,,clinic,
3620460,Consultori Local Foixà," Pl La Plaça, S/N", ,17132,Foixà,972769214,,tvalencia@ssibe.cat,,2020-03-19T07:59:28, PlaçaLa Plaçaça,,clinic,
3622821,Atenció Continuada Cap Trinitat Vella," Vi Barcino, 88", 88,08033,Barcelona,932741909,93 345 01 50,,,2020-03-19T07:58:43, Vi Barcino,,clinic,yes
3619591,Consultori Local Aspa," Cr Major, 5", 5,25151,Aspa,973122077,,,,2020-03-19T07:59:52, Cr Major,,clinic,
3619771,Consultori Local Vistabella," Cr Onze De Setembre, S/N", ,43765,"Secuita, la",977611217,,,,2020-03-19T07:59:39, Cr Onze De Setembre,,clinic,
3620224,Consultori Local Fonollosa," Cr Església, S/N", ,08259,Fonollosa,938366155,,,,2020-03-19T07:59:12, Cr Església,,clinic,
3619659,Consultori Local La Portella," Ct De Lleida, 24", 24,25134,"Portella, la",973186220,,,,2020-03-19T07:59:50, Ct De Lleida,,clinic,
3619521,Consultori Local Castellnou De Seana," Cr Calvari, 1", 1,25265,Castellnou de Seana,973337167,,,,2020-03-19T07:59:55, Cr Calvari,,clinic,
3619936,Consultori Local Llorenç Del Penedès," Rb Rambla Marinada, 19", 19,43712,Llorenç del Penedès,977677514,,,,2020-03-19T07:59:42, Rb Rambla Marinada,,clinic,
3620362,Consultori Local Mura," Cr Muntanya, 17", 17,08278,Mura,938317226,,,,2020-03-19T07:59:11, Cr Muntanya,,clinic,
9028672,Atenció Continuada Cap Montgat," Cr Sant Antoni M. Claret, S/N", ,08390,Montgat,,,,,2020-03-19T07:57:59, Cr Sant Antoni M. Claret,,clinic,yes
9014433,Atenció Continuada Cap Anton De Borja," Cr Inventor Edison, S/N", ,08191,Rubí,,,,,2020-03-19T07:57:55, Cr Inventor Edison,,clinic,yes
3620392,Consultori Local Ventalló," Pl Major, 1", 1,17473,Ventalló,972793053,972 77 20 89,,,2020-03-19T07:59:29, PlaçaMajor,,clinic,
10929865,Assir Barcelona Ciutat Les Corts," Cr Mejia Lequerica, 1", 1,08029,Barcelona,932275590,93 227 55 97,capcorts@clinic.cat,http://www.capsbe.cat/,2020-03-19T07:58:43, Cr Mejia Lequerica,,clinic,
3622805,Hospital - Cuap Vic," Cr De Francesc Pla ""El Vigatà"", 1", 1,08500,Vic,938891111,,client@chv.cat,http://www.hgv.cat,2020-03-19T07:59:05," Cr De Francesc Plaça ""El Vigatà""",,clinic,yes
3620398,Cap Sant Hilari Sacalm," Cr Girona, S/N", ,17403,Sant Hilari Sacalm,972872277,972 87 22 03,eap_arbucies.girona.ics@gencat.cat,,2020-03-19T07:59:16, Cr Girona,,clinic,
3620132,Consultori Local Llanars," Pl De LOm, 3", 3,17869,Llanars,972741390,,,,2020-03-19T07:59:19, PlaçaDe LOm,,clinic,
3621076,Cap Vilanova Del Vallès," Pl Ovidi Montllor, 1", 1,08410,Vilanova del Vallès,938458475,,vilanova.mn.ics@gencat.cat,,2020-03-19T07:57:36, PlaçaOvidi Montllor,,clinic,
3619836,Consultori Local Pratdip," Av Catalunya, 7", 7,43320,Pratdip,977566191,,,,2020-03-19T07:59:45, Av Catalunya,,clinic,
3619898,Cap Nou Tàrraco," Cr Doctor Mallafré Guasch, 4", 4,43005,Tarragona,977221871,977 22 17 56,tarraco.tgn.ics@gencat.cat,,2020-03-19T07:59:39, Cr Doctor Mallafré Guasch,,clinic,
3619672,Consultori Local Vilanova De La Barca," Cr Major, 21", 21,25690,Vilanova de la Barca,973191203,,,,2020-03-19T07:59:49, Cr Major,,clinic,
3621731,Cap Florida - Equip Florida Sud," Pr Dels Ocellets, S/N", ,08905,"Hospitalet de Llobregat, l'",934471080,93 448 33 06,hospitaletnord@ambitcp.catsalut.net,,2020-03-19T07:58:11, Pr Dels Ocellets,,clinic,
3620082,Cap Canet De Mar," Pl De La Universitat, 1", 1,08360,Canet de Mar,937956676,93 795 40 09,eap_canet.girona.ics@gencat.cat,,2020-03-19T07:59:21, PlaçaDe La Universitat,,clinic,
3622230,Consultori Local Sant Miquel Del Cros," Av Mediterrani, S/N", ,08310,Argentona,937574990,,,,2020-03-19T07:58:01, Av Mediterrani,,clinic,
3620792,Cap Montnegre - Equip Montnegre," Cr Montnegre, 21", 21,08029,Barcelona,933632965,93 321 98 78,Capmontnegre.pbcn@ics.scs.es,,2020-03-19T07:58:42, Cr Montnegre,,clinic,
3620434,Consultori Local Calonge," Pl De La Concordia, 4", 4,17251,Calonge i Sant Antoni,972660475,,abatlle@ssibe.cat,,2020-03-19T07:59:28, PlaçaDe La Concordia,,clinic,
3620229,Cap Sagrada Família," Cr Sant Cristòfol, 34", 34,08243,Manresa,938747813,93 874 54 22,cap.sagrada.familia@manresa.scs.es,,2020-03-19T07:59:12, Cr Sant Cristòfol,,clinic,
3622337,Cap Sant Andreu De La Barca," Av Constitució, 37", 37,08740,Sant Andreu de la Barca,936530099,93 682 34 66,admsab.bln.cp.ics@gencat.net,,2020-03-19T07:58:51, Av Constitució,,clinic,
3619731,Cap Alcover," Cr Fonts Del Glorieta, S/N", ,43460,Alcover,977760690,977 84 64 09,administracio@absaco.org,http://www.absaco.org,2020-03-19T07:59:47, Cr Fonts Del Glorieta,,clinic,
3619763,Consultori Local Ardenya," Cr Major, 16", 16,43762,"Riera de Gaià, la",977655555,,,,2020-03-19T07:59:39, Cr Major,,clinic,
3621734,Cap Mossèn Cinto Verdaguer," Cr Jacint Verdaguer, 4-6", 4-6,08902,"Hospitalet de Llobregat, l'",934329572,93 296 57 43,,,2020-03-19T07:58:11, Cr Jacint Verdaguer,,clinic,
3619742,Consultori Local El Pla De Santa Maria," Ps Passeig Del Pla, 2", 2,43810,"Pla de Santa Maria, el",977631269,,,,2020-03-19T07:59:47, Ps Passeig Del Plaça,,clinic,
3620958,Atenció Continuada Cap Parets Del Vallès," Av De Catalunya, 127", 127,08150,Parets del Vallès,935621689,,parets.mn.ics@gencat.cat,,2020-03-19T07:57:37, Av De Catalunya,,clinic,yes
3620517,Consultori Local Riudaura," Cr Joan Castañer Massegur, 12", 12,17814,Riudaura,872204074,,,,2020-03-19T07:59:25, Cr Joan Castañer Massegur,,clinic,
3621027,Atenció Continuada Cap Puigcerdà," Pl De Santa Maria, 1", 1,17520,Puigcerdà,972880150,972 88 11 43,c.metgeprimaria@hospitalpuigcerda.com,,2020-03-19T07:59:02, PlaçaDe Santa Maria,,clinic,yes
3619595,Consultori Local La Granja D'Escarp," Pl Nova, S/N", ,25185,"Granja d'Escarp, la",973782090,,,,2020-03-19T07:59:52, PlaçaNova,,clinic,
3619953,Consultori Local Camp-Redó," Cr Germanes Escardó Valls, S/N", ,43897,Tortosa,977597598,,,,2020-03-19T07:59:36, Cr Germanes Escardó Valls,,clinic,
3620898,Consultori Local Noves De Segre," Cr Únic, S/N", ,25795,"Valls d'Aguilar, les",973387321,,,,2020-03-19T07:59:02, Cr Únic,,clinic,
3619712,Consultori Local Vallbona De Les Monges," Cr Prat De La Riba, 1", 1,25268,Vallbona de les Monges,973330736,,,,2020-03-19T07:59:48, Cr Prat De La Riba,,clinic,
3620918,Consultori Local Bolvir," Cm Reial, 13", 13,17539,Bolvir,972881786,,,,2020-03-19T07:59:02, Cm Reial,,clinic,
3620327,Consultori Local Barri De Sant Pere," Cr La Unió, 12", 12,08711,Òdena,938054646,,,,2020-03-19T07:59:14, Cr La Unió,,clinic,
3619861,Consultori Local Ulldemolins," Cr Santa Magdalena, 20", 20,43363,Ulldemolins,977561553,,,,2020-03-19T07:59:40, Cr Santa Magdalena,,clinic,
3620404,Consultori Local La Cellera De Ter," Av Montserrat, 22", 22,17165,"Cellera de Ter, la",972186918,972 42 29 79,,,2020-03-19T07:59:15, Av Montserrat,,clinic,
3619577,Consultori Local Alcoletge," Cr Doctor Fleming, 2", 2,25660,Alcoletge,973196397,,,,2020-03-19T07:59:53, Cr Doctor Fleming,,clinic,
3621048,Atenció Continuada Cap Pobla De Segur," Cr De Les Esgrases, 2", 2,25500,"Pobla de Segur, la",973681323,973 68 13 59,abslapobla.pirineu.ics@gencat.cat,,2020-03-19T07:59:01, Cr De Les Esgrases,,clinic,yes
